,0
forskningssygeplejersk,1
forskningsundersøg,2
forskrift,1
forskru,3
forskræk,11
forskrækked,6
forskud,1
forskydning,2
forskån,5
forslag,358
forslagetkritik,1
forslagfra,1
forslå,4
forslår,3
forsmag,6
forsman,4
forsmanhavd,2
forsnævring,2
forsom,2
forson,8
forsoning,4
forspild,6
forspring,4
forst,3
forstad,40
forstadi,1
forstadskvart,2
forstadsliv,6
forstand,64
forstanderind,2
forsten,7
forstil,1
forstilled,1
forstod,79
forstop,16
forstrækning,2
forstum,4
forstummed,6
forstuv,1
forstuved,1
forstuvning,1
forstyr,66
forstyrred,6
forstå,632
forståelsesevn,4
forståelsespapir,1
forstår,230
forstæd,4
forstærk,22
forstærkning,5
forstør,5
forstørred,1
forstørrelsesgla,4
forstørrelsesglas,1
forsvand,93
forsvar,342
forsvared,7
forsvarligvis,2
forsvarsadvokat,53
forsvarsakademi,3
forsvarsallianc,2
forsvarsforbehold,8
forsvarsjurist,1
forsvarsløs,2
forsvarsmekanik,2
forsvarsmekanism,3
forsvarsminist,24
forsvarsministeri,10
forsvarsministerium,13
forsvarsordfør,2
forsvarspolitik,2
forsvarsspil,13
forsvarsspillerjona,3
forsvarsstyrk,1
forsvind,154
forsvindei,1
forsvinding,6
forsvindingssag,3
forsvor,2
forsvund,48
forsvundn,14
forsygeplejersk,2
forsyn,16
forsyned,2
forsyning,26
forsyningsanlæg,1
forsyningsgang,1
forsyningskæd,1
forsyningsminist,6
forsyningsministeri,1
forsyningssikker,1
forsyningsteknik,3
forsæd,10
forsæt,16
forsætterkan,2
forsøg,1537
forsøgeat,2
forsøgerfoa,2
forsøgerpar,1
forsøgsbasis,2
forsøgsdeltag,3
forsøgslutted,1
forsøgsordning,21
forsøgsperiod,3
forsøgsperson,39
forsøgteat,2
forsøm,52
forsømmelsesp,1
forsømt,16
forsørg,42
forsørgelsesgrundlag,2
forsørgerstatus,2
fort,8
fortabt,10
fortag,6
fortal,15
fortalt,1008
fortaltanklagemynd,1
fortalteansvarshav,2
fortaltenil,1
fortaltetil,1
fortaltetimothy,2
fortaltetroel,16
fortaltevibek,1
fortaltevid,3
fortaltom,2
fortegn,1
fortham,3
fortid,66
fortidslevn,1
fortied,1
fortilfæld,8
fortj,3
fortjen,47
fortjenest,9
fortjent,43
fortog,1
fortolk,8
fortolkning,10
forton,2
fortov,33
fortovscafé,2
fortovskant,1
fortravl,1
fortravled,7
fortrin,2
fortrinsvis,7
fortrinsvist,2
fortro,68
fortroel,1
fortrud,32
fortrukn,1
fortryd,75
fortrydelsesr,4
fortryl,2
fortræd,1
fortræf,3
fortræk,5
fortræng,15
fortrød,10
fortrøstning,2
fortrøstningsfuld,8
fortsat,678
fortsatd,1
fortsathold,2
fortsati,1
fortsatskal,3
fortsatsvært,2
fortsattemod,1
fortsæt,735
fortuml,1
fortuna,4
fortunahjørring,2
fortv,3
fortvivl,11
fortvivled,9
fortvivlelseov,1
fortynd,2
fortæl,3254
fortæller,3
fortællerahmad,1
fortællercarolin,2
fortællercharlot,1
fortællerd,2
fortællerdesiré,2
fortællerh,1
fortællerhun,2
fortællerjenny,2
fortællerlar,2
fortællermarian,9
fortællermartin,2
fortællermay,1
fortællermozhdehghasemiyani,4
fortællernabo,1
fortællerpet,7
fortællersenay,1
fortællersklerosepatient,1
fortællersophi,2
fortællerstin,2
fortællersygeplejersk,1
fortællervanessa,1
fortælling,72
fortællingensstor,3
fortællingodyssé,1
fortænd,3
fortær,4
fortæt,1
fortætningsbidrag,1
fortørn,1
fortørned,3
forud,199
forudan,2
forudbestemt,2
forudfatted,2
forudgå,4
foruds,65
forudsag,3
forudsat,5
forudsatat,2
forudseen,1
forudset,1
forudsig,18
forudså,11
forudsæt,5
forudsætning,44
forulemp,1
forulykked,3
forum,12
forundersøg,25
forundr,18
forundred,3
forundring,6
forup,2
foruren,4
forurening,5
foruret,2
foruretted,2
foruro,29
forvag,5
forvalt,4
forvaltning,22
forvaltningschef,2
forvaltningslov,1
forvandl,7
forvandled,1
forvandling,6
forvaring,7
forvaringsdom,6
forvaringsdømt,1
forvaringsstraf,1
forvarsel,2
forvej,242
forvejenfor,1
forveksl,13
forveksling,3
forvent,540
forvented,54
forventesdom,2
forventning,170
forventningsafstemning,1
forventningsfuld,3
forventningsfuldedansk,2
forventningsniveau,2
forventningspr,4
forventningspres,2
forvir,43
forvirred,10
forvirring,24
forvis,4
forvisning,1
forvitr,1
forvold,7
forvredn,1
forvrid,2
forvridning,2
forvræng,4
forvrænged,2
forvær,63
forværred,7
forværring,11
forward,3
forßman,3
forår,223
forårsag,66
forårsaged,15
forårsdag,2
forårskåd,1
forårsluft,6
forårsmorg,4
forårsmorgen,2
forårspak,4
forårssol,3
forårsvalg,2
forårsvejr,1
foræld,70
forælded,14
forældelsesfrist,2
forældr,1114
forældreansvarslov,1
forældreend,2
forældreevn,12
forældrefortalt,1
forældregeneration,1
forældregrup,2
forældrehavd,3
forældrekøbt,1
forældreliv,2
forældreløs,12
forældremynd,28
forældremyndighedenov,1
forældremyndighedsindehav,2
forældremyndighedssag,2
forældremød,12
forældrenefremfor,1
forældrenelouis,2
forældrenelyk,1
forældreorlov,4
forældrepar,12
forældreparretnem,1
forældreret,1
forældrerol,2
forældreråd,2
forældresamarbejd,2
forældreshanara,1
forældreskab,6
forældrestu,4
forældreuddan,2
forældrevilhav,1
forælr,2
forær,10
forøg,21
forøvr,2
fos,17
fosfor,1
fossed,5
fossil,1
fost,64
fosterskad,1
fosterstadi,2
fosterstilling,3
fostersæk,2
fostervand,1
fostervandsprøv,2
fostr,13
foto,81
fotoalbum,6
fotobog,4
fotobureau,1
fotochef,1
fotodokument,2
fotofæld,1
fotograf,121
fotografenjonathan,1
fotografering,3
fotografi,15
fotografisk,1
fotografpar,3
fotokopi,2
fotomodel,3
fotopapir,4
fotoprojek,6
fotoshoot,5
fotosikring,1
fotoudstilling,3
fotovogn,5
fought,2
foulum,1
found,3
foundation,3
four,2
fowl,1
fox,25
foxboro,2
foyer,4
fr,54
fra,4
fraaarhus,1
fraanklag,2
fraat,1
frabarnsb,2
frabed,4
frabopæl,1
frac,3
fracamilla,2
frachristian,2
frad,5
frada,3
fradenuddannelsesansvar,1
fradrag,33
fradragsr,2
fradømt,1
fraeliteen,3
fraet,2
frafald,9
frafaldsprocent,3
frafl,1
frafn,1
frafor,1
fraforhandling,2
fraforlag,2
fraforligsinstitution,1
fraformand,2
frafrancesco,1
frafrederik,2
fragment,4
fragordon,1
fragreth,1
fragt,27
fragted,2
fragtfly,1
fragtskib,2
frahel,2
frahun,2
frainnovationspulj,2
frais,2
frak,7
frakend,4
frakkeærm,1
fraklinisk,1
fraklip,5
frakoncert,2
fraktion,7
frakønsforsk,2
fralag,2
fralar,1
fralegepladseni,2
fralæg,4
fralæggers,1
fralønmodtag,3
fralørdag,1
fram,4
framari,1
framay,1
framichael,1
fran,6
franar,4
franc,150
francesca,3
francesco,5
franch,3
francis,1
francisco,15
franco,13
francois,6
frands,1
frank,264
frankenheim,1
frankenstein,1
frankfurt,15
franki,6
franklin,27
frankr,158
franktrod,2
franordsjælland,2
franquevil,2
fransisco,3
fransk,109
franskleded,1
franskmand,7
franskmænd,10
franskmændenestøt,2
fransksproged,1
françis,1
fraorganisation,1
fraoverfald,2
fraperson,1
fraplan,2
frapotentielt,2
frapriorit,2
fraresko,2
fraretsformand,2
frarigshospital,1
fraråd,41
fraråded,7
frarøv,8
fras,6
frasin,3
fraskilt,4
fraskriv,2
frasort,1
frasportsavis,3
frastjål,2
frastod,2
frastød,5
frasundhedsvæsen,2
frasydafrika,3
frasygehus,1
frasygeplejersk,1
fratag,40
fratid,1
fratog,4
fratroel,2
fratruk,8
fratråd,2
fratræd,1
fraudenlandsk,1
frausing,8
frav,3
fravalg,35
fravanessa,1
fravictor,2
fravor,3
fravrist,1
fravælg,21
fravær,54
fraværsdag,2
fraværssag,2
fred,204
fredag,595
fredagberedskab,2
fredagsbar,5
fredagsbøn,7
fredagsrock,2
fredasgsbar,1
fredberg,9
freddy,18
freded,4
fredeicia,1
fredelyk,1
fredensborg,11
fredensgad,1
fredenslund,2
fredensvej,1
frederic,3
fredericia,18
frederik,252
frederiks,459
frederiksberg,122
frederiksborg,18
frederiksenkun,1
frederikshavn,26
frederiksstad,2
frederikssund,34
frederikssundsvej,3
frederiksværk,8
fredfyld,4
fredrick,2
fredrik,3
fredsaftal,4
fredsbevar,5
fredsdu,18
fredserklæring,2
fredsforhandling,1
fredsorient,2
fredsp,11
fredspris,4
fredssang,3
fredsted,1
fredstid,2
free,7
freedom,5
freelancejournalist,7
freestyl,4
freetown,5
fregat,1
fregn,24
fregnebehandling,1
fregnefiltr,1
frehr,4
frei,1
freil,61
freitag,6
freja,262
frejalæs,1
frels,22
frem,1680
fremad,53
fremadret,22
fremadstorm,3
frembrud,4
frembrus,1
fremdrift,9
fremfor,37
fremført,8
fremførtsom,2
fremgang,25
fremgangi,1
fremgangsmåd,11
fremgik,25
fremgå,5
fremgår,239
fremhvæs,2
fremhæv,116
fremhæved,3
fremkald,10
fremkom,6
fremkæmped,3
fremlag,57
fremlagti,3
fremlæg,47
fremlægning,3
fremman,1
fremmarch,4
fremmed,119
fremmedgjort,6
fremmedkling,2
fremmedkr,1
fremmedlegem,4
fremmedord,2
fremmedsprog,7
fremmesad,2
fremmest,141
fremmød,47
fremov,160
fremprovok,1
frempå,2
fremrag,17
fremryk,8
fremrykked,6
fremrykning,5
fremsat,17
fremsend,7
fremsenderd,6
fremskaf,8
fremskred,8
fremskrid,29
fremskriv,4
fremskrivning,6
fremskud,1
fremskynd,1
fremstam,8
fremstammed,5
fremstil,50
fremstilled,1
fremstilling,4
fremstod,4
fremstrak,2
fremstå,14
fremstår,9
fremstød,1
fremsæt,28
fremtid,431
fremtidog,1
fremtidsdrøm,2
fremtidsfond,1
fremtidsfornem,2
fremtidsmu,1
fremtidsplan,1
fremtidsscenari,3
fremtidssikr,6
fremtidsuds,8
fremtil,2
fremtoning,8
fremtræd,31
fremtving,4
fremvis,22
fremvisning,4
fremvist,9
french,1
freydis,16
freytag,6
fri,301
friaften,2
friar,3
friberg,3
fribil,3
frida,22
fridag,12
friday,5
frie,62
fried,14
friedman,25
friend,8
frier,2
frieri,5
friesland,4
frifelt,2
frifind,28
frifindestil,2
frifund,33
frigav,8
frigiv,24
frigivn,1
frigjort,4
frigør,27
frihed,99
frihedsbegrænsning,1
frihedsberøv,27
frihedsberøved,9
frihedsberøveti,2
frihedsdag,2
frihedsenergi,4
frihedshelt,2
frihedskamp,1
frihedskæmp,2
frihedsret,3
frihedsstraf,3
frihjul,3
frihold,4
frihus,2
friis,31
frij,1
frik,5
frikadel,1
frikadellefar,2
frikend,25
frikorp,2
friktion,1
frikvart,8
friluftshøjskolei,3
friluftsliv,2
friluftsmennesk,3
friløb,2
friman,2
frimor,2
fripa,2
friplejehjem,3
frirum,6
frisag,1
frisbe,2
frisind,1
frisk,76
friskbag,3
friskol,3
friskolelov,5
friskolelær,2
frispark,4
frist,67
fristed,10
fristforlæng,4
frisur,2
frisæt,1
frisør,30
frisørbesøg,1
frisørfag,5
frisørsalon,6
frit,77
fritag,22
fritid,127
fritidsaktivit,5
fritidsaktivitet,5
fritidsarbejd,2
fritidscent,1
fritidscentr,2
fritidshus,2
fritidsinteres,12
fritidsjob,7
fritidsjobog,2
fritidslandbrug,96
fritidsmu,3
fritidsordning,4
fritidspædagogik,3
fritidssport,1
fritlag,4
fritstil,4
frituresteg,1
fritz,4
fritænkning,1
frivil,291
friweekend,2
frk,1
frod,4
frokost,46
frokostaftal,3
frokostordning,3
frokostpaus,85
frokosttid,4
frokosttrusl,1
from,22
fromag,2
front,48
frontalt,5
frontansat,1
frontex,4
frontfigur,5
frontièr,1
frontkæmp,3
frontlinj,36
frontlinjemedarbejd,2
frontlinjepersonal,2
frontløb,1
frontmand,4
frontmedarbejd,1
frontotemporal,1
frontpersonal,31
frontsoldat,2
fros,6
frosn,1
frosnegrøntsager,2
frost,10
frosted,1
frostgrad,4
frostsprængning,2
frovin,1
fru,31
frue,10
fruergaard,1
fruerlund,30
frugt,41
frugtbar,4
frugtkvark,2
frugtordning,3
frugtsmag,2
frugttræ,4
frustr,189
frustration,130
frustrationerogså,2
frustrationerpå,9
frustreredeel,3
frvqfck,1
fryd,1
frydenberg,4
frydkjær,1
frydman,12
frygt,623
frygted,95
frygtedehan,2
frygtindgyd,2
frygtkultur,1
frygtsom,1
frys,29
fryselag,1
frysepunk,6
frysepå,2
fryserindhold,2
fråd,2
fræk,10
frækt,6
fræktsigermet,1
fröndenberg,2
frøer,4
frøk,2
frøkjær,12
frølich,1
frømandskorps,3
frøs,2
frøslev,2
frøslevlejr,2
fsb,2
ft,7
ftf,158
ftfs,1
fuck,36
fucked,4
fuckfing,4
fucking,15
fugl,81
fuglebak,2
fuglebestand,1
fugled,14
fuglegødning,3
fuglered,4
fugleung,6
fuglsang,18
fugt,22
fugtbelastning,1
fugted,2
fugtighedscrem,4
fuhlendorf,1
fukssvan,2
ful,3
fuld,544
fuldbyrd,9
fuldbyrded,2
fuldeaf,2
fuldelønrammepå,2
fuldend,2
fuldfør,11
fuldført,11
fuldgyld,6
fuldkom,12
fuldkomment,3
fuldkorn,1
fuldmag,11
fuldmån,1
fuldmæg,1
fuldskæg,5
fuldstænd,372
fuldstændigned,2
fuldstændignormalt,2
fuldtal,2
fuldtid,29
fuldtidsansat,3
fuldtidsansæt,3
fuldtidsarbejd,8
fuldtidsbeskæft,3
fuldtidsbeskæftig,1
fuldtidsbeskæftiged,4
fuldtidsdom,1
fuldtidsgrup,2
fuldtidsgynækolog,1
fuldtidsinfluenc,2
fuldtidsjob,19
fuldtidsled,3
fuldtidsmedarbejd,3
fuldtidspolitik,2
fuldtidspraktik,1
fuldtidsprofessionel,2
fuldtidsstilling,15
fuldtidsstudi,1
fuldtidssygemeld,2
fuldtidssygeplejersk,3
fuldton,4
fuldudrykninghasted,2
fulg,345
fulgtei,16
fuml,5
funch,29
fund,657
fundament,17
fundamental,16
fundamentalt,16
fundetpå,1
fundetro,1
fundetskyld,2
funding,2
fundn,1
funeral,4
fung,321
fungerernogenlund,1
funk,2
funktion,81
funktionel,1
funktionelt,1
funktionsdu,2
funktionsdyg,2
funktionsled,3
funktionsnedsæt,2
funktionsniveau,3
funktionstid,2
funktionsændring,1
funktionær,8
fup,6
fupnum,3
furent,2
furesø,4
furix,1
fus,3
fusion,18
fusionen,1
fusionsoplæg,1
fusionsplan,1
fusk,1
fustr,2
fut,1
futtrup,2
futur,1
futura,5
futurama,1
fuxing,1
fx,10
fxselv,2
fy,2
fyemqwyr,1
fyen,39
fyg,1
fygt,2
fyld,511
fylderhan,31
fyldest,1
fyldestgør,3
fylla,1
fyn,145
fynbo,11
fynsk,2
fynsmestr,4
fynsvej,1
fyr,219
fyraft,1
fyred,8
fyrefor,1
fyreseddel,17
fyresedl,5
fyrhop,1
fyring,67
fyringsoli,1
fyringsproces,2
fyringsrund,3
fyrkildevej,1
fyrsteslæg,2
fyrtårn,1
fyrværeri,2
fyrværkeri,66
fyrværkeribranch,3
fyrværkerifabrik,63
fyrværkeriofr,2
fyrværkeripark,3
fyrværkerishow,3
fyrværkeriulyk,6
fys,8
fysik,83
fysio,7
fysiologisk,7
fysioterapeut,121
fysioterapeutpraksis,2
fysioterapeutstudi,3
fysioterapeutuddan,1
fysioterapi,5
fysisk,427
fábrega,10
fábregra,2
fält,1
få,5338
fåbesøg,2
fåborg,2
fået,2118
fåetbesøg,1
fåetbetegnelsennordic,2
fåeti,1
fåetkritik,2
fåfokus,1
fåfolkeskol,2
fåfuld,2
fåglæd,2
fålov,2
fåmåned,4
fåom,2
får,3079
fård,3
fåresyg,6
fårevejl,2
fårfrakend,2
fårfølgeskab,2
fårkasp,2
fårkoldsved,3
fårnavn,13
fårnok,1
fåropbakning,1
fårpatient,1
fårportør,2
fårskift,1
fårstabl,2
fårtv,1
fårudbetalt,1
fårup,7
fås,1
fåsin,2
fåtal,2
fåtilkend,2
fåufaglært,1
fåundersøg,1
fåvend,1
fædr,16
fædreland,9
fædrelandskær,3
fægted,2
fægtesal,1
fægtesalsvej,3
fæl,276
fæld,32
fælded,1
fældning,1
fælled,10
fælledby,1
fælledpark,12
fælledstillidsrepræsentant,1
fælledvej,1
fællesakutmodtag,1
fællesareal,2
fællesbestik,2
fællesbetegnelsefor,1
fællesbøn,2
fællesforbund,1
fællesgril,2
fællesgrup,2
fælleshjælp,2
fællesindsamling,3
fælleskommunal,2
fælleskøn,2
fælleslist,1
fællesmød,1
fællesnævn,4
fællesoplev,1
fællesrum,3
fællesråd,15
fællesrådstef,2
fællessal,1
fællessang,1
fællesskab,209
fællesskabsånd,1
fællesskål,5
fællesspisning,4
fællesstu,2
fællestillidsfolk,2
fællestillidsmand,7
fællestillidsrepræsentant,27
fællestræk,6
fællestu,1
fællesudvalg,1
fællesvis,2
fængsel,341
fængselsansat,2
fængselsbetjent,37
fængselscel,5
fængselsdom,12
fængselsfløj,2
fængselsforbund,6
fængselsgang,2
fængselsgård,1
fængselsgårdensid,1
fængselslign,5
fængselspersonal,8
fængselspræst,5
fængselspræsten,2
fængselspræstenbland,1
fængselsseri,1
fængselsstraf,42
fængselstraf,2
fængselsvag,1
fængsl,102
fængsled,3
fængsleti,1
fængsling,11
fængslingsafdeling,1
fængslingssurrogat,1
fænom,17
fænomen,5
fænomenal,2
fær,401
færd,248
færded,4
færdigbehandl,13
færdigbehandled,16
færdigbyg,2
færdiggjord,4
færdiggjort,9
færdiggør,25
færdigmeld,2
færdigpakked,1
færdigspil,1
færdigudan,2
færdiguddan,20
færdiguddanned,6
færdigudvikl,3
færdigvaccin,21
færdigvaccination,1
færdselslov,6
færdselsregl,5
færdselsulyk,2
færg,22
færgefart,1
færgeforbind,4
færgetur,2
færing,5
færrest,77
fært,3
færø,19
færøsk,2
fæstn,6
fæt,27
fætr,3
félix,2
fór,2
fø,4
fød,226
føde,1
fødeafdeling,31
fødeafsnit,1
fødebilled,4
fødeby,5
fødedyg,1
fødegang,22
fødeindtag,5
fødeklinik,6
fødenavn,2
føderal,27
føderalt,5
føderomkring,1
fødeskali,1
fødesknap,1
fødested,9
fødestu,9
fødevar,63
fødevareallergi,4
fødevarebutik,3
fødevareforbund,4
fødevareforretning,3
fødevarehygiejn,2
fødevareklagenævn,1
fødevarekris,1
fødevarelovgivning,2
fødevareminist,8
fødevareministeri,1
fødevareministerium,1
fødevareordfør,1
fødevareproduktion,1
fødevareprogram,2
fødevarerejsehold,2
fødevarerforbund,1
fødevarerog,31
fødevarerogså,1
fødevaresituation,1
fødevarestyr,17
fødevaretrend,1
fødevarevidenskab,1
fødevarevirksom,2
fødeår,1
fødning,1
fødsel,164
fødselar,3
fødseld,1
fødselsafdeling,1
fødselsafsnit,2
fødselsattest,1
fødselsberetning,2
fødselsbilled,1
fødselsdag,132
fødselsdagsbord,2
fødselsdagsfejring,2
fødselsdagsfest,15
fødselsdagsgav,3
fødselsdagsperl,1
fødselsdagsreception,2
fødselsdagstæsk,2
fødselsdagsønsk,3
fødselsdato,6
fødselsdefek,2
fødselsdepression,10
fødselsforbered,2
fødselshistori,2
fødselshospital,1
fødselslæg,2
fødselsoplev,2
fødselsrat,2
fødselstal,4
fødselsteam,2
fødselstermin,2
fødselsveeropstod,1
fødselsvæg,3
fødsl,238
fødsleni,2
født,523
fødtekvinden,1
føg,8
føj,15
føjed,6
føl,1519
føleforstyr,2
følelseog,2
følelsesarbejd,1
følelsesforstyr,2
følelseslad,16
følelsesladed,4
følelsesladedemoment,2
følelsesliv,2
følelsesløs,4
følelsesmennesk,1
følelsesmæs,65
følelsesmæssigtpåvirk,1
følelsesspektr,2
følelsmæs,1
følers,4
følesan,2
følesegent,2
følessom,2
følestypiskr,1
følg,1254
følgeanbefaling,1
følgebil,1
følged,1
følgefor,1
følgerskar,2
følgeskab,7
følgeskad,4
følgeskar,1
følgesv,2
følgesvend,3
følgesygdom,7
følgevirkning,14
føling,5
følsom,27
følsomt,14
følt,700
følts,2
før,2479
førafføring,2
førcarolin,1
førend,2
førergreb,2
førerhus,4
førersid,1
førersæd,3
førertrøj,3
førertrøjesid,3
førh,25
føring,3
førkiswendsida,1
førkort,2
førlighedstru,4
førlighedstrued,2
førnævnt,4
førog,2
føromtalt,2
førring,2
først,3894
førstedagblot,2
førstedam,14
førstefordi,2
førsteforfat,3
førstefød,8
førstegangsforældr,2
førstegangsfød,34
førstegangskøb,3
førstegangslovovertræd,1
førstegradsslægtning,1
førstehjælp,125
førstehjælpsarbejd,1
førstehjælpsfirma,4
førstehjælpsfærd,1
førstehjælpskurs,1
førstehjælpskursus,11
førstehjælpsråd,1
førstehjælpsundervisning,3
førstehjælpuans,2
førstehjæp,1
førstehåndsindtryk,1
førstehåndsvidn,2
førstekæmp,35
førstekæmpervalg,1
førstemand,2
førsteomgang,1
førstepar,1
førsteplad,8
førsteplads,9
førstepriorit,18
førsteprioritet,8
førsteprioritetsansøg,3
førsteprioritetsansøgning,1
førstereserv,2
førstesal,7
førsteservicehund,3
førsteårsstud,1
førsti,4
førstkort,1
førstnævnt,4
førstom,1
ført,332
førtidspension,26
førtidspensionist,25
førtidspensionsreform,2
føtex,9
ga,2
gaard,64
gaardbo,14
gaardhøj,11
gab,31
gabby,1
gabon,31
gabriel,1
gad,300
gadagung,6
gadbjerg,1
gaddafi,6
gaddafis,1
gadeband,2
gadebarn,1
gadebelysning,2
gadebilled,1
gadedreng,10
gadefest,4
gadegaard,7
gadegård,1
gadehandel,1
gadehavegård,1
gadehavegårdsvej,1
gadehjert,2
gadehjørn,5
gadejurist,2
gadekamp,5
gadekat,1
gadekunst,2
gadelamp,6
gademedarbejd,1
gademiljø,1
gadenil,1
gadeniveau,1
gadenog,2
gadeplan,1
gadeuord,4
gaffa,1
gaffel,2
gaffeltruck,3
gaffertap,1
gafl,3
gaia,2
gajol,2
gak,6
gakkelak,3
gal,72
galapagosø,3
galdeafledning,1
galdeblær,17
galdeblæreoperation,20
galdegang,5
galdest,48
galdesten,9
galdestensanfald,6
galdestensoperation,2
galdestenssygdom,6
galdevej,2
galdevejov,1
galdevejsbetænd,2
galg,1
galgenhumoristisk,3
galici,1
galicia,9
galileis,1
galileo,1
galina,1
galla,8
gallaopvisning,4
gallatøj,2
galleri,13
galli,1
gallop,2
gallup,7
galop,10
galsgaard,1
galskab,5
galt,472
galvanic,2
galveston,1
galvez,2
gam,12
gambia,4
gambl,4
gambling,1
gamechang,2
gaml,391
gamlecharli,2
gammel,341
gammeldag,17
gammelgaard,1
gammelgårdsal,1
gammelog,2
gammelpå,1
gammelt,22
gamtoft,1
gan,3
ganan,1
gandhi,3
gandløs,6
ganefejl,1
ganespalt,4
gang,4419
gangalarm,2
gangareal,5
gangbar,5
gangbesvær,5
ganged,2
gangeft,2
gangegæstpå,2
gangeom,1
gangerund,16
gangestyk,2
gangestør,2
gangetil,2
gangfunktionenog,1
ganghavd,2
gangopposition,2
gangplad,2
gangplads,1
gangredskab,1
gangring,1
gangrobot,1
gangsid,2
gangstermiljø,2
gangtil,2
gangvag,2
gangvar,3
ganløs,1
gansk,293
gap,4
garag,13
garant,74
garanteredelar,1
garanti,55
garantifond,3
garcetti,3
garcia,17
garcía,2
gard,16
gardarsdottir,3
gardering,2
gardermo,4
garderob,2
gardin,26
gardiner,2
gardinstang,2
gardn,1
garduno,1
garin,6
garn,3
garnnøgl,1
garret,27
gart,4
gartn,5
gartnerimedarbejd,1
garv,3
garved,5
gary,7
gas,44
gasart,1
gasblå,3
gasdrevn,3
gasflask,13
gasflaskedepot,3
gasforsyning,3
gasfyr,16
gashora,5
gashåndtag,3
gaslag,3
gasledning,1
gasleveranc,1
gasolin,1
gaspistol,4
gaspris,8
gaspå,2
gasrevolv,4
gastric,4
gastrisk,15
gastroen,1
gastroenterologi,3
gastroenterologisk,3
gastrokirurg,2
gastronomisk,2
gastyran,2
gasudgift,1
gasudslip,2
gat,10
gatdula,1
gatel,3
gatesvil,1
gath,2
gathering,1
gatluak,3
gatti,4
gauerslund,5
gaul,2
gauzy,1
gav,609
gavebånd,1
gavekort,2
gaveudpakning,1
gavham,1
gavin,6
gavmild,5
gavn,125
gavned,3
gavsin,2
gavslip,2
gay,1
gayford,2
gaza,11
gazebind,2
gazeindbundn,1
gazet,2
gaztelu,1
gazzetta,2
ge,3
gear,20
gebrok,1
gebræk,2
gebyr,9
gebærd,5
ged,45
geds,1
gedsted,2
geer,2
geerts,19
gees,3
gefion,2
gehr,1
geir,6
geisl,6
gejl,3
gejst,22
gel,8
gelejd,1
gellerup,3
gelsenkirch,1
gelsted,1
gelænd,8
gem,70
gemt,54
gemtepå,3
gemyt,3
gen,109
genam,2
genan,9
genansat,1
genbehandl,1
genbestil,2
genbo,7
genbrug,22
genbrugsafdeling,1
genbrugsbutik,6
genbrugskoncern,1
genbrugsmundbind,1
gend,1
gendan,2
gendarm,1
genderles,1
genemsnit,3
gener,2
general,12
generaldirektør,6
generalforsamling,6
generalis,27
generaliseretangst,3
generalkonsul,1
generalkonsulat,1
generalprøv,4
generalsekretær,18
generalsekræt,1
generalstab,1
generation,78
generationaf,2
generationsskift,1
generator,4
generatorsv,3
generel,100
generelt,270
generskal,1
genert,13
generøs,6
generøsit,1
genet,1
genetabl,3
genetik,5
genetillæg,2
genetisk,22
genetud,2
genev,2
genfang,1
genfejl,9
genfejlpå,1
genfind,2
genfor,1
genforen,26
genforened,2
genforening,3
genfortalt,6
genfortæl,8
genfød,8
gengang,3
gengav,1
gengiv,11
gengæld,251
gengældvar,2
genhus,2
genhusning,3
genhusningsløsning,3
genhør,1
genial,6
genialit,2
genialt,1
geninddrag,1
genindfør,33
genindførsel,2
genindført,7
genindgå,2
genindlag,8
genindlæg,20
genindsæt,2
genital,1
genius,1
genk,94
genkald,12
genkend,101
genkendteanni,1
genkendteh,1
genklang,5
genlyd,1
genmaterial,1
genmed,1
genmodific,2
genmæl,1
gennaro,2
gennem,881
gennemanalys,2
gennemarbejd,1
gennemblød,3
gennembor,6
gennembrud,32
gennembrudshit,1
gennembrudsinfektion,6
gennemfl,2
gennemflow,2
gennemfør,139
gennemført,139
gennemgaa,2
gennemgang,35
gennemgik,37
gennemgikadskil,2
gennemgrib,13
gennemgå,130
gennemgået,2
gennemgår,30
gennemlev,13
gennemleved,2
gennemlyst,1
gennemlæsning,3
gennemnå,2
gennemprygling,1
gennemregn,1
gennemregul,1
gennemrenov,4
gennemrod,1
gennemroded,2
gennems,2
gennemsig,16
gennemskan,1
gennemsku,24
gennemslagskraft,4
gennemsmadr,2
gennemsnit,292
gennemsnitsald,16
gennemsnitsbelægning,2
gennemsnitsdansk,2
gennemsnitsfamili,2
gennemsnitsfart,3
gennemsnitsleveald,1
gennemsnitslæs,1
gennemsnitsløn,5
gennemsnitsniveau,2
gennemsnitspris,1
gennemsnitsstud,2
gennemsnitstemperatur,1
gennemsnitto,1
gennemsyn,5
gennemsyr,4
gennemså,3
gennemsøg,19
gennemsøgning,9
gennemtestedeteori,2
gennemtissed,1
gennemtræng,2
gennemtrævl,2
gennemtvang,2
gennemtænk,1
gennemtæv,1
gennemundersøg,3
gennmfør,2
genogeografisk,1
genom,2
genopblus,1
genopbyg,4
genopbygning,2
genopdragelseslejr,1
genopfriskningskursus,2
genoplev,7
genopliv,94
genoplived,2
genoplivning,55
genoplivningsforsøg,12
genoplivningsindsats,2
genoplivningsudstyr,4
genopret,13
genopretning,3
genopretningspak,3
genopretningsplan,1
genopstil,1
genopstå,1
genopstår,1
genoptag,70
genoptj,4
genoptjening,4
genoptjeningskrav,1
genoptjeningsmu,2
genoptjeningsperiod,2
genoptog,15
