,titles,sub_header,h2,content,author,tag,date,link,source
260,en sansehave til de mest syge,"to intensiv-sygeplejersker ønsker sig en sansehave med orangeri, så der kan komme mere kvalitet i udeturene for patienterne.",,"nogen af de allermest syge patienter på intensiv-afdelingen på aarhus sygehus får en utraditionel behandling - nemlig frisk luft. selv om der nogen gange både skal respiratorer, ilt og andet udstyr med på turen ud, så prioriteres ude-ture højt, fortæller sygeplejerske malene skjødt og kea bruhn. - og det er jo en simpel ide, som vi oplever, der giver rigtig meget håb og for nogle kampgejst til at kæmpe videre, siger hun. problemet er bare, at der ikke er det rigtige uderum til patienterne på aarhus sygehus. deto intensiv sygeplejersker har derfor sendt et forslag til dr og dansk arkitekturcenters proket byg-det-op med ønskert om at få en rigtig hav emed blomster og buske, et orangeri til at give læ - og ikke mindst indlagt el, så respiratorer og andet overvågningsudstyr kan komme med ud. en af patienterne, der nyder godt af den frisk luft, siger, at det er guld værd, når man ellers er lænket til en seng 24 timer i døgnet. han håber virkelig, at de to sygeplejersker bliver en af de fire vindere i den landsdækkende konkurrence. - det fortjener de, lyder det. ",gitte hansen,Østjylland,2013-04-29 08:48:00+00:00,https://www.dr.dk/nyheder/regionale/oestjylland/en-sansehave-til-de-mest-syge,DR
268,patienter er glade for sygehus lillebælt,"der er flere tilfredse patienter på sygehus lillebælt. det skyldes en stor indsats fra personalet, mener sygeplejefaglig direktør, helle adolfsen.",stolt personale faglighed er ikke nok,"patienterne er blevet mere glade for den behandling, de får på sygehus lillebælt. en ny tilfredshedsundersøgelse viser, at langt færre oplever unødig ventetid og patienterne oplever god stemning blandt personalet. personalet kan være stolte af, at patienterne bliver mere tilfredse, siger sygeplejefaglig direktør, helle adolfsen. - vi tager patientens stemme alvorligt. derfor er det vigtigt, hvad patienterne siger, og hvordan de vurderer deres ophold på sygehuset, siger hun. det betyder, at det ikke er nok, at en læge eller sygeplejerske er fagligt dygtige. de skal også give patienterne en god oplevelse. - man skal kunne tale ordentligt med patienterne. man skal kunne skrive et godt udskrivningsbrev til den praktiserende læge, så når patienten kontakter den praktiserende læge, så ved han, hvad der er foregået. vi skal være gode til at kommunikere med patienterne. vi skal gøre os umage, siger hun. patientundersøgelsen viser, at sygehus lillebælt ligger over landsgennemsnittet på 14 ud af de 22 områder som patienterne bliver bedt om at vurdere.    ",jeppe ligaard,Trekantområdet,2013-04-30 14:00:00+00:00,https://www.dr.dk/nyheder/regionale/trekanten/patienter-er-glade-sygehus-lillebaelt,DR
270,sygeplejersker holder 1. maj-fri: patienter må vente,"mens sygeplejerskerne 1. maj skyller kølige øl ned på græsplænerne rundt omkring i landet, må patienterne vente tålmodigt i sygesengen.",,"mens sygeplejerskerne 1. maj skyller kølige øl ned på græsplænerne rundt omkring i landet, må patienterne vente tålmodigt i sygesengen. uden sygeplejerskernes tilstedeværelse kan lægerne ikke udføre undersøgelser og operationer, og det betyder, at hospitalet helt unødvendigt får en pausedag. - der vil være nogle patienter, der får en ekstra indlæggelsesdag, fordi sygehuset principielt kører på halve omdrejninger, siger tage lysbo svendsen, ledende overlæge på holbæk sygehus. fridag irriterer lægernesygeplejerskernes fridag irriterer lægerne, der ikke holder fri. de har nemlig en anden overenskomst og er derfor tvunget til at skifte operationsbordet ud med skrivebordet. og det er ikke kun harmløse operationer, der aflyses, når de røde flag smælder. også operationer i den mere alvorlige ende udskydes: - vi udfører ikke bypass-kirugi. vi kører kun de akutte hjerteoperationer, siger hans henrik kimose, overlæge på hjertekirurgisk afsnit på århus sygehus. jens stenbæk: det kan give problemer under overenskomstforhandlingen med sygeplejerskerne i 2011, fik regionerne slået to halve fridage sammen til den hele fridag, sygeplejerskerne nu kan holde 1. maj. på den måde ville man komme nogle af de behandlingsforhindringer til livs, der opstår, når sygeplejerskerne ikke er fuldtallige, forklarer formanden for danske regioners løn- og personalepolitiske udvalg, jens stenbæk (v). han forudser dog stadig problemer ved den nye ordning. - vi er loyale over for de aftaler vi indgår, men jeg tror, at vi fremover vil se, at der på de enkelte sygehuse vil blive aftalt noget andet, fordi vi kan se, at det kan skabe problemer, siger han til ekstra bladet.",ritzau,Indland,2013-05-01 06:20:00+00:00,https://www.dr.dk/nyheder/indland/sygeplejersker-holder-1-maj-fri-patienter-maa-vente,DR
271,sygeplejersker en gevinst ved tvangsindlæggelser,"det er en god ide at lade sygeplejersker tage med politiet ud til personer, der skal tvangsindlægges.  det viser evalueringen af et halvt års forsøg i aalborg kommune. ",afdramatiserer situationen for dyr. fortsætter for egne midler,"det er en god ide at lade sygeplejersker tage med politiet ud til personer, der skal tvangsindlægges. det viser evalueringen af et halvt års forsøg i aalborg kommune. i projektperioden har sygeplejersker fra regionens psykiatriske skadestue medvirket ved 14 tvangsindlæggelser. både sygeplejersker og politi er enige om, at sygeplejerskernes tilstedeværelse har afdramatiseret situationen og beroliget patienterne. evalueringsresultatet glæder formanden for regionens rådgivende udvalg for psykiatri, lis mancini. - problemet er bare: hvordan kommer vi videre? for det har været et dyrt projekt. lønomkostningerne har i projektperioden været på 1.3 millioner kroner og deler man omkostningerne ud bliver hver tvangsindlæggelse dyr. så dyr, at psykiatriledelsen ikke kan anbefale at gøre ordningen permanent i sin nuværende form. psykiatriledelsen foreslår derfor, at ordningen indskrænkes til kun at gælde dag- og aftentimerne, hvor de fleste tvangsindlæggelser sker. et forslag lis mancini har forståelse for. - jeg lægger mærke til, at psykiatriledelsen trods alt synes så godt om projektet, at de fortsætter det, til politikerne har taget stilling til projektets videre forløb. regionsrådets forretningsudvalg drøfter på sit kommende møde om projektet skal fortsætte og i så fald i hvilken form.",søren k nielsen,Nordjylland,2013-05-24 05:34:00+00:00,https://www.dr.dk/nyheder/regionale/nordjylland/sygeplejersker-en-gevinst-ved-tvangsindlaeggelser,DR
272,nyuddannede sygeplejersker kommer hurtigere i arbejde,nyuddannede sygeplejersker får hurtigere job i dag end for bare et år siden. flere har endda et job allerede inden de får eksamensbeviset i hånden.,brug for sygeplejersker i kommunerne,"nyuddannede sygeplejersker får langt hurtigere job i dag end for bare et år siden. mere end otte ud af ti af de nyuddannede sygeplejersker fra uddannelserne i holstebro og viborg får ifølge dansk sygeplejeråd i kreds midtjylland arbejde, når de er færdige. flereaf de studerende påuddannelserne harallerede job på hånden inden den sidste eksamen. næstformanden i dansk sygeplejeråd i kreds midtjylland, bente rasmussen peger blandt andet på, at ansættelsesstoppet i regioner og kommuner er forbi. derudover er der også brug for flere sygeplejersker i kommunerne: - der er en udvikling i forhold til det nære sundhedsvæsen, som gør at kommunerne også har behov for at ansætte flere sygeplejersker, siger hun. ifølge tal fra dansk sygeplejeråd, er der iøjeblikket 168 ledige sygeplejersker i region midtjylland.",peter friis mikkelsen,Midt- og Vestjylland,2013-05-03 06:41:00+00:00,https://www.dr.dk/nyheder/regionale/midtvest/nyuddannede-sygeplejersker-kommer-hurtigere-i-arbejde,DR
275,patienter bli'r bedre sikret i ambulancen,"fra 1. maj har hospitalet sendt specialist-sygeplejersker med ambulancerne i alt 15 gange. - det højner patientsikkerheden, siger hospitalsdirektør.",,"- det højner patientsikkerheden, konstaterer hospitalsdirekør kurt espersen, efter bornholms hospital er begyndt at sende anæstesisygeplejersker med ambulancen, når der er mulighed for det. fra 1. maj har hospitalet sendt specialist-sygeplejersker med ambulancerne i alt 15 gange. hver gang har sygeplejersken kunnet hjælpe patienterne med behandling af smerter, medicin eller til for eksempel at får passage i luftvejene, oplyser bornholms hospital. ordningen med special-sygeplejersker i ambulancerne bruges ved alvorlige trafikuheld, hjertestop og andre livstruende situationer. - det vil gavne de bornholmske patienter, at de modtager specialiseret hjælp helt ude på skadesstedet, siger kurt espersen.",torsten raagaard,Bornholm,2013-05-16 09:44:00+00:00,https://www.dr.dk/nyheder/regionale/bornholm/patienter-blir-bedre-sikret-i-ambulancen,DR
276,lysforsøg sender sygeplejersker til melbourne,sygeplejersker fra kolding sygehus skal til melbourne i australien for at fortælle om et enestående forsøg med lys på deres intensivafdeling.,vil gerne have samarbejdspartnere,"intensivafdelingen på kolding sygehus har lavet et forsøg med lys, der skal give bedre trivsel blandt personalet. de er de første i verden, der har lavet den type forsøg udenfor et laboratorium. og derfor drager en flok sygeplejersker i morgenhelt til melbourne, hvor de skal fortælle om forsøget på en international kongress. - hvis vi kunne finde nogen, der arbejder inden for samme område, så vi kunne få nogle samarbejdspartnere, ville det være rigtig dejligt, fortæller tina damgaard, der er sygeplejerske på kolding sygehus' intensivafdeling. kolding sygehus har testet lyset i tre måneder, og tina damgaard regner med, at de endelige forskningsresultater er klar i begyndelsen af juni.",silja alström,Trekantområdet,2013-05-14 08:10:00+00:00,https://www.dr.dk/nyheder/regionale/trekanten/lysforsoeg-sender-sygeplejersker-til-melbourne,DR
288,sygeplejersker: lægerne spiller højt spil,faggrupper tæt på lægerne bakker ikke deres faglige konflikt op.,imødekommende forkert udspil,"lægerne får ingen opbakning til deres faglige konflikt med det offentlige fra lægesekretærer, sygeplejersker og laboranter. formand for danske lægesekretærer soile friis roser i jyllands-posten det politiske system for at have været imødekommende under konflikten. hun opfordrer til, at lægerne nu giver sig. og formanden for danske bioanalytikere - også kaldet laboranter - bent asbild mener, at den lov, politikerne har spillet ud med for at regulere området, kan være en udmærket ramme for et sundhedsvæsen tæt på borgerne. samme toner kommer fra sygeplejerskerne. - lægerne spiller højt spil og i mine øjne et forkert spil, siger grete christensen, formand for dansk sygeplejeråd til jyllands-posten. formanden for de praktiserende læger, henrik dibbern, siger om lægernes nærmeste faggrupper, at de bær koncentrere sig om deres egne aftalevilkår. - hvis deres holdning er udtryk for, at de har lyst til at vise en særlig tilbageholdenhed, når vi skal forhandle deres lønvilkår næste gang, så kan det da kun glæde mig, siger henrik dibbern til jyllands-posten.",carl-johan rosenberg,Indland,2013-06-07 01:49:00+00:00,https://www.dr.dk/nyheder/indland/sygeplejersker-laegerne-spiller-hoejt-spil,DR
303,roskilde-sygeplejerske om patienter: de er ikke alle lige lækre,"man skal vænne sig til patienter indsmurt i mudder og opkast, hvis man er sygeplejerske på roskilde festival",mudder og opkast boom i antal sygeplejersker,"en mand smurt ind i så meget mudder, at kun det hvide i øjnene kunne ses, og en rock-fan som fik øret revet næsten af. det er to af de oplevelser som har gjort mest indtryk på bente buch og lise wolder, som har været frivillige sygeplejersker i henholdsvis 23 og 26 år. - det er stort set de samme ting, som folk kommer til skade med i dag, som for 23 år siden, men der er færre som kommer galt af sted, fordi der er kommet bedre styr på sikkerheden, siger bente buch. hun og lise wolder arbejder i de såkaldte medcare-teams, som består af læger og sygeplejersker. de arbejder enten som mobilhold, der går rundt på festivalområdet eller bag scenerne, når klemte, kolde eller klamme tilskuere bliver hjulpet over hegnet foranscenen. - de er jo ikke alle sammen lige lækre. nogle er smurt ind i mudder og andre kaster måske op ud over dig, men det er stadig sjovt. det er en udfordring at arbejde som sygeplejerske her, når man ikke har de hjælpemidler, som man er vandt til i sit daglige arbejder, siger bente buch. - man bruger sin faglighed på en anden måde. her er du nødt til at mærke på patienten og se på, hvordan de har det også vurdere dem ud fra det, suplerer lise wolder. og der er brug for sygeplejerskerne. sidste år oplevede festivalen en markant stigning i skader og derfor er beredskabet i år øget fra 130 til 170 sygeplejersker fordelt over festivalens 10 dage. det viser en opgørelse fra fagbladet sygeplejersken. både bente buch og lise wolder har dog selv oplevet årets festival som meget stille og rolig uden de store episoder. de fortæller, at ulykken under pearl jam-koncerten i 2000, som kostede ni mennesker livet, ændrede arbejdsopgaverne for sygeplejerskerne markant. - med tiden og specielt siden 2000 er der sket meget. der er meget bedre koordinering og vi fokuserer i højere grad på at tage os af patienterne. tidligere skulle vi også dele vand ud foran koncerterne og andre ting, men nu er vi mere bare sygeplejersker, siger lise wolder. i alt får mellem 9000-10.000 patienter hjælp af samaritter, sygeplejersker eller læger under roskilde festival.",kresten morten munksgaard,,2013-07-07 09:00:00+00:00,https://www.dr.dk/nyheder/kultur/roskilde/roskilde-sygeplejerske-om-patienter-de-er-ikke-alle-lige-laekre,DR
304,rapport: indvandrere misforstås og fejlbehandles,"når læger og sygeplejersker kommer til kort på grund af sprog- og kulturbarrierer beskrives indvandreres lidelser eksempelvis som ”etniske smerter”. det fører til adskillige fejlbehandlinger, fastslår ny rapport.",mere uddannelse,"mens peter har kræft, har hassan ""etniske smerter"". sprog og kulturforskelle gør, at indvandrere og flygtninge er i stor risiko for at blive fejlbehandlet, fordi lægen eller sygeplejersken ikke forstår dem. det fastslås i en ny rapport fra indvandrermedicinsk klinik i odense. rapporten gennemgår erfaringerne fra mere end 700 patienter, der er blevet henvist til klinikken, siden den blev oprettet for fem år siden. - konklusionen er, at der sker en meget omfattende forskelsbehandling af patienter med indvandrerbaggrund. lægerne og sygeplejerskerne har svært ved at yde den samme høje kvalitet, som de yder til andre patienter i det danske sundhedssystem, siger rapportens hovedforfatter, morten sodemann, som er professor og overlæge på indvandrermedicinsk klinik på odense universitetshospital kræft blev til etniske smerterrapporten påpeger, at en del misforståelser opstår, fordi sundhedspersonalet undlader at tilkalde en tolk, når det er nødvendigt. men mange fejlbehandlinger opstår også, fordi læger og sygeplejersker ikke bruger den fornødne tid til at sætte sig ind i patienternes situation, og i stedet forbinder de patienternes problemer med, at de kommer fra en anden kultur og et andet land - eksempelvis viser rapporten, at et udtryk som ""etniske smerter"" bliver brugt i sygehusvæsnet, når lægerne kommer til kort. det har resulteret i masser af alvorlige fejlbehandlinger, påpeger morten sodemann. - det kan være patienter, som er afvist med, at de havde ""etniske smerter"" i arme og ben, hvor det så viste sig at være en kræftsygdom, som havde spredt sig til knoglerne. banale sygdomme som astma eller bihulebetændelse bliver også tit tilskrevet som ""etnisk migræne"", men det er i virkeligheden ren allergi. lægeformand: svært at håndtere lægeforeningens formand, mads koch hansen, kan nikke genkendende til kritikken. - det er jo beskæmmende, at sundhedsvæsnet på den måde er med til at skabe ulighed i sundhed, siger han. lægeformanden har selv oplevet udfordringerne med behandling af flygtninge og indvandrere i sit eget arbejde som læge på horsens sygehus. - det her er jo nogle gange patienter med meget komplicerede helbredsproblemer, og når der kommer en sprogbarriere oveni, bliver det meget svært for den enkelte læge eller sygeplejerske at håndtere - så får vi simpelthen ikke ydet den service, som vi egentlig burde. mads koch hansen mener, at sundhedspersonalet skal uddannes bedre til at tage imod flygtninge og indvandrere. i region syddanmark har man allerede efteruddannet meget sundhedspersonale i et forsøg på at give dem en bedre forståelse for patienter med indvandrer- eller flygtningebaggrund, og morten sodemann er enig med mads koch hansen i, at uddannelse er vejen frem. - det flytter rigtigt meget, og det er også en viden, de (sundhedspersonelet, red.) gerne vil have, for de er godt klar over, at de ikke gør det godt nok, og at den information, de giver flygtninge og indvandrere, ikke er lige så god, som den de giver andre danskere.",sune lundby møller,Indland,2013-07-02 04:30:00+00:00,https://www.dr.dk/nyheder/indland/rapport-indvandrere-misforstaas-og-fejlbehandles,DR
335,travlhed på jobbet: hver femte sygeplejerske overvejer at stoppe,"hver femte sygeplejerske har overvejet at skifte branche, fordi de ikke kan stå inde for patientsikkerheden, viser rundspørge.",- dedikerede medarbejdere går ud over patienternes sikkerhed danske regioner: vi skal undgå stress-situationerne,"hver femte sygeplejerske overvejer at forlade branchen, fordi hun eller han ikke kan stå inde for patientsikkerheden. det viser en rundspørge, som dansk sygeplejeråd har lavet i samarbejde med dr nyheder. her har lidt over 1000 af landets sygeplejersker uden ledelsesansvar deltaget. og tallet er alarmerende, mener formand for dansk sygeplejeråd, grete christensen. - det er foruroligende, og det tænder de store advarselslamper, siger hun og forklarer, at det er det samme mønster, der har tegnet sig i de seneste undersøgelser om arbejdsmiljøet. - men det er også et udtryk for, at vi har en høj stolthed i faget, og at sygeplejersker i hverdagen er meget bekymret, hvis de ikke kan levere den faglighed, som de ved, at de er i stand til at levere, hvis de havde mere tid, siger hun. rundspørgen viser også, at 64 procent på trods af travlhed af de adspurgte ikke ønsker at forlade branchen. det tal er også udtryk for en dedikation fra sygeplejerskernes side, og at sygeplejerskerne på trods af travlhed stadig er glade for deres arbejde, mener grete christensen. - de har hjertet med på arbejde hver eneste dag. de er meget dedikerede til faget, og de er stolte, når de får lov til at udføre sygepleje på den gode måde, siger grete christensen. i den rundspørge, dansk sygeplejeråd har lavet sammen med dr nyheder, svarer fire ud af 10 af de omkring 1000 sygeplejersker, der har deltaget, at deres arbejdsdag er så travl, at det går ud over patienternes sikkerhed. - det er bekymrende og dybt alarmerende, når så mange sætter ord på, at det de laver i hverdagen giver en risiko for patienternes sikkerhed, siger grete christensen og fortæller, at hun ofte høre historier fra sygeplejersker, om at de ikke har haft tid til det, de godt ved, at de skal. - det kan for eksempel være, at en patient har ligget for længe med en ble, eller at medicinen er blevet givet for sent, fordi de simpelthen ikke har haft tid nok, siger hun. lidt over halvdelen af de adspurgte læger svarer det samme i en rundspørge, som dr har lavet i samarbejde med yngre læger. hos danske regioner tager formand for sundhedsudvalget, ulla astman, problemet alvorligt, fortæller hun til dr nyheder. - det er et udtryk for, at der er noget vi skal kigge på og vi skal tage det meget alvorligt. det er en ledelsesopgave i hver enkelt region, og jeg vil sætte mig e d sammen med min ledelse og høre, hvordan vi kan undgå de stress-situtioner, som kan få alvorlige konsekvenser for patienterne, siger hun",louise damløv,Indland,2013-10-28 11:50:00+00:00,https://www.dr.dk/nyheder/indland/travlhed-paa-jobbet-hver-femte-sygeplejerske-overvejer-stoppe,DR
347,troværdighed: vi stoler mere på politiet,"de faggrupper, der står for velfærdsstatens kerneopgaver ligger højt i vores agtelse, mens politikere og ejendomsmæglere vanen tro ligger i bunden.",politikere skraber stadig bunden forskel på mænd og kvinder,"vi stoler mest på dem, der passer på os på hospitalet, og dem, der passer på os på gaden. sygeplejersker, læger og politibetjente udgør således top tre i en troværdighedsanalyse blandt en række forskellige faggrupper, som radius kommunikation har gennemført. selv om første- og andenpladsen indtages af henholdsvis sygeplejersker og læger, er politiet på tredjepladsen den eneste faggruppe, der går frem i sin troværdigheds-score i forhold til sidste år. - politiet er i den grad blevet dygtigere til at arbejde med deres dialog med danskerne. det er alt, lige fra hvordan de arbejder med sociale medier, til hvordan de håndterer almindelige medier. det har de gjort et stort stykke arbejde for at blive bedre til, og det spiller ind, siger seniorpartner nicolaj taudorf andersen fra radius kommunikation til dr nyheder. det er femte år i træk, at radius kommunikation gennemfører troværdighedsanalysen, og af den fremgår det, at danskerne generelt har stor tillid til de erhverv, der udfører kerneopgaverne i velfærdstaten, og at tilliden til dem er nogenlunde stabil i forhold til de foregående år. på fjerde- og femtepladsen ligger præster og skolelærere. i den anden ende af skalaen er det igen politikerne, der lander på sidstepladsen som den mindst troværdige faggruppe. og det er den eneste gruppe, det er gået støt nedad for i de fem år, analysen er blevet gennemført - og så er politikerne desuden faldet med syv procent i troværdigheden i forhold til sidste år. de ligger således lavere end både bilforhandlere, journalister og ejendomsmæglere. tilliden til alle faggrupper er dog, bortset altså fra politiet, faldet en smule siden sidste års måling, viser analysen. ifølge nicolaj taudorf andersen skyldes det, at fagfolks kompetencer ofte bliver talt ned i offentligheden. - vi hører fra virksomhedsledere, at vi ikke er gode nok. vi hører fra politikere, at vi skal omstille en masse ting, vi hører det til forældremødet henne i skolen. det er alt sammen med til at påvirke vores opfattelse af fagligheden og den faglige troværdighed, som er det, vi måler her, siger han. der er desuden forskel på, hvordan mænd og kvinder ser på de forskellige faggrupper, fremgår det af analysen. kvinder vurderer generelt faggruppernes troværdighed højere end mænd gør, og forskellen mellem kønnene er særligt stor, når det handler om ejendomsmæglere, bankrådgivere, pensionsrådgivere og advokater. analysen er gennemført i august 2013, og 1.007 danskere i alderen 18-65 år har deltaget i en internetbaseret spørgeskemaundersøgelse af epinion.",laura juul,Indland,2013-09-14 07:27:00+00:00,https://www.dr.dk/nyheder/indland/trovaerdighed-vi-stoler-mere-paa-politiet,DR
351,rundspørge: læger og sygeplejersker er livsfarligt stresset,"en ny rundspørge viser, at læger og sygeplejersker er stressede, og at de føler, det går ud over patienterne. ",bekymrende og alarmerende læger: passer fint med virkeligheden danske regioner: det er alvorligt,"både læger og sygeplejersker føler sig så stressede på arbejdet, at de føler, det går ud over patienternes sikkerhed. det viser en ny rundspørge, som dr nyheder har lavet i samarbejde med yngre læger og dansk sygeplejeråd. næsten 2200 læger har deltaget i rundspørgen, og flere end halvdelen af lægerne svarer, at deres arbejdsdag er så stressende, at det går ud over patienternes sikkerhed. mere end 1000 sygeplejersker har svaret på undersøgelsen - og her svarer 43 procent, at deres travle arbejdsdag går ud over patienternes sikkerhed. - det er bekymrende og dybt alarmerende, når så mange sætter ord på, at det de laver i hverdagen giver en risiko for patienternes sikkerhed, siger formand for dansk sygeplejeråd, grete christensen. hun fortæller, at hun flere gange har hørt historier fra sygeplejersker, om at de ikke har haft tid til det, de godt ved, at de skal. - det kan for eksempel være, at en patient har ligget for længe med en ble, eller at medicinen er blevet givet for sent, fordi de simpelthen ikke har haft tid nok, siger hun. heller ikke formanden for yngre læger undrer sig over resultatet, siger hun. - resultatet passer fint med virkelighedsopfattelsen, så jeg er ikke overrasket over resultatet. men det er selvfølgelig uhyggeligt, at så mange læger, siger lisbeth lintz. hun mener ikke det er realistisk at tro, at der bliver ansat flere læger på hospitalerne, og derfor mener hun i stedet, at man skal lave om på arbejdsgangene, så læger får mere tid til patienterne. - der er en del administrative opgaver, som lægerne lige nu tager sig af, og det ligger lige for, at man flytter de opgaver over til for eksempel lægesekretærer eller sosu-assistenter, så lægerne kan bruge mere af deres tid på at tage sig af patienterne, siger lisbeth lintz. hos danske regioner vil formand for sundhedsudvalget, ulla astman, tage problemet op med de forskellige regioner. for hun er ikke i tvivl om, at man skal tage resultaterne af rundspørgen alvorligt, siger hun. - det er et udtryk for, at der er noget vi skal kigge på, og vi skal tage det meget alvorligt. det er en ledelsesopgave i hver enkelt region, og jeg vil sætte mig sammen med min ledelse og høre, hvordan vi kan undgå de stress-situationer, som kan få alvorlige konsekvenser for patienterne, siger hun. i rundspørgen svarer flere af medarbejderne også, at de har prøvet at gøre ledelsen opmærksom på problemet, men at de ikke mener, at ledelsen har reageret. - det skal de (lederne red.) tage alvorligt, og ledelsen har et meget stort ansvar for kvalitet og patientsikkerhed, siger hun og tilføjer, at sundhedsudvalget vil forsøge at klæde lederne bedre på. dr nyheder sætter fokus på patientsikkerhed. vil du dele en oplevelse eller viden med os? så skriv til hospital@dr.dk",louise damløv,Indland,2013-10-28 05:30:00+00:00,https://www.dr.dk/nyheder/indland/rundspoerge-laeger-og-sygeplejersker-er-livsfarligt-stresset,DR
352,sygeplejersker: stress går udover vores arbejde,"arbejdet med at omlægge skadestuer er gået for hurtigt, mener sygeplejersker og arbejdsmiljøforsker.",6 ud af 10 er stressede fejl med fatale følger sæt farten ned,"sygeplejerskerne på landets skadestuer er stressede på grund af stort arbejdspres, og det går ud over patienterne. det viser en stor undersøgelse lavet af dansk sygeplejeråd. seks ud af ti skadestuesygeplejersker advarer nu om, at det dårlige arbejdsmiljø rammer patienterne. susanne bach lauersen er sygeplejerske og arbejdsmiljørepræsentant på akutafdelingen - det, der tidligere hed skadestuen - på slagelse sygehus. hun og hendes kolleger mærker et stigende arbejdspres: - det helt store problem er tidspresset. der er for mange patienter til for få sygeplejersker. et andet problem er manglen på efterudannelse, siger hun. 6 ud af 10 sygeplejersker, der arbejder på akutmodtagelser er meget stressede, og det skyldes først og fremmest at netop akutafdelingerne har været udsat for det største antal omlægninger og nedskæringer i hele sundhedsvæsenet. det siger tage søndergaard kristensen. han er professor i psykisk arbejdsmiljø og har lavet undersøgelsen. - det, vi ved fra forskningen, er, at hvis der er mange forandringer og nedskæringer, så påvirker det de ansatte temmelig meget. der er mange undersøgelser, der viser, at det også kan påvirke helbredet, siger han. helbredsproblemerne kommer typisk til udtryk som psykiske lidelser eller hjertekarsygdomme. men sygeplejerskernes dårlige arbejdsmiljø kan også gå ud over patienterne, siger susanne bach laursen: - fejl kan få fatale følger og forglemmelser kan få frygtelige konsekvenser for den enkelte patient, siger hun. og næstformanden i dansk sygeplejeråd, dorte steenberg er ikke i tvivl om, hvad undersøgelsen bør føre til: - det bør føre til, at man i regionerne kigger kritisk på den måde, man har bygget akutafdelingerne op på og til, at man sætter forandringshastigheden ned. det er gået alt for hurtigt, siger hun.",bjørn schønning,Indland,2013-10-17 04:30:00+00:00,https://www.dr.dk/nyheder/indland/sygeplejersker-stress-gaar-udover-vores-arbejde,DR
353,patienter bekymrede over sygeplejersker,"foreningen danske patienter er bekymret over en praksis, der breder sig i region sjælland og flere andre regioner.",,"foreningen danske patienter er bekymret over den praksis, der breder sig i region sjælland og flere andre regioner, hvor det er sygeplejersker, der tager røret når syge og tilskadekommende ringer. det skriver jyllands-posten. i region sjælland er det en sygeplejersker man får fat i, hvis man skal visiteres til et skadestuebesøg, og sådan bliver det også fra nytår i region hovedstaden. - vi ser helst læger i front til at visitere. det er vigtigt, at patienten bliver mødt med specialisternes kompetencer, for det skaber større tryghed, siger direktør morten freil fra danske patienter til jyllands-posten. sygeplejerskerne maner dog til besindighed. patienterne skal ikke være bekymrede, lyder budskabet. - vi har kompetente sygeplejersker, så jeg er sikker på, at det nok skal blive rigtigt godt, siger vibeke westh, kredsformand i dansk sygeplejeråd med henvisning til at hendes medlemmer nu også bliver dem der tager telefonen i hovedstaden.",jyllands-posten,Sjælland,2013-10-09 05:31:29+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/patienter-bekymrede-over-sygeplejersker,DR
354,hver tredje læge: ledelsen lytter ikke til vores bekymring for patienterne,"hver tredje læge og sygeplejerske føler ikke, at ledelsen lytter, hvis de siger, at de er bekymrede for patientsikkerheden.",ikke onde mennesker dialogen mangler danske regioner: vil vil tage det op,"sygeplejersker og læger føler sig så stressede, at de er nervøse for, om det går ud over patientsikkerheden. det viser en rundspørge, som dr nyheder har lavet i samarbejde med yngre læger og dansk sygeplejeråd. ifølge rundspørgen har over 80 procent af lægerne og sygeplejersken vendt problemet med deres ledere, men en tredjedel af dem føler ikke, at ledelsen tager deres bekymring alvorligt. - det er alvorligt, for når man først siger, at man er bekymret for patienternes sikkerhed, bør ledelsen altså lytte, siger grete christensen, der er formand for dansk sygeplejeråd. - men det er jo ikke fordi ledelsen er onde mennesker - de er også presset på tid, forklarer hun. og hos foreningen for yngre læger er formand lisbeth lintz bekymret for tallene. - det er sørgeligt, hvis ledelsen ikke tager problemerne alvorligt, fordi det gang på gang viser sig, at det efterfølgende giver bagslag. for problemerne udvikler sig bare og bliver værre, siger hun. hun er dog ikke overrasket over tallene, siger hun. - det viser jo også, at ledelsen føler sig presset, men det er en meget stor udfordring, som skal løses. hos dansk sygeplejeråd efterlyser grete christensen bedre kommunikation fra ledelsens side. - det er et tal, som fortæller, at der er brug for mere dialog, og der er brug for mere snak med medarbejderne om, hvad de er for en kvalitet, de skal levere, siger hun. danske regioner vil nu tage problemet op med de forskellige ledere i sundhedsvæsnet, lyder det fra formand for sundhedsudvalget ulla astman. - det her skal lederne tage alvorligt, og ledelsen har et meget stort ansvar for kvalitet og patientsikkerhed, siger hun og fortsætter: - vi vil klæde dem bedre på til det. tirsdag har vi faktisk en konference omkring ledelse og kvalitetsforbedringer, og der er fuldt hus til en konterende, hvilket jo vidner om en interesse, siger ulla astman.",louise damløv,Indland,2013-10-28 12:45:00+00:00,https://www.dr.dk/nyheder/indland/hver-tredje-laege-ledelsen-lytter-ikke-til-vores-bekymring-patienterne,DR
